"date","time","size","r_version","r_arch","r_os","package","version","country","ip_id"
"2012-10-01","00:30:13",35165,"2.15.1","i686","linux-gnu","quadprog","1.5-4","AU",1
"2012-10-01","00:30:15",212967,"2.15.1","i686","linux-gnu","lavaan","0.5-9","AU",1
"2012-10-01","02:30:16",167199,"2.15.1","x86_64","linux-gnu","formatR","0.6","US",2
"2012-10-01","02:30:16",21164,"2.15.1","x86_64","linux-gnu","stringr","0.6.1","US",2
"2012-10-01","02:30:13",11046,"2.15.1","x86_64","linux-gnu","evaluate","0.4.2","US",2
"2012-10-01","02:30:13",42294,"2.15.1","x86_64","linux-gnu","digest","0.5.2","US",2
"2012-10-01","02:30:16",435407,"2.15.1","x86_64","linux-gnu","knitr","0.8","US",2
"2012-10-01","02:26:05",326143,"2.15.1","i686","linux-gnu","mice","2.13","AU",1
"2012-10-01","02:21:09",119459,"2.15.1","i686","linux-gnu","mitools","2.2","AU",1
"2012-10-01","02:38:08",868695,"2.15.0","x86_64","linux-gnu","RCurl","1.95-0","US",3
"2012-10-01","02:38:00",8954,"2.15.0","x86_64","linux-gnu","bitops","1.0-4.1","US",3
"2012-10-01","02:30:13",368192,"2.15.1","x86_64","linux-gnu","plyr","1.7.1","US",2
"2012-10-01","02:13:48",1061394,"2.15.1","i686","linux-gnu","Amelia","1.6.3","AU",1
"2012-10-01","02:37:34",868687,"2.15.0","x86_64","linux-gnu","RCurl","1.95-0","US",3
"2012-10-01","04:06:10",1023,NA,NA,NA,NA,NA,"US",4
"2012-10-01","08:17:26",2094435,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","08:29:01",868687,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","08:28:54",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","08:17:33",8954,"2.15.1","x86_64","linux-gnu","bitops","1.0-4.1","US",2
"2012-10-01","08:17:34",868687,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:26:35",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:43:46",2094435,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:44:58",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:44:51",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:59:07",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:37",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:53:18",2094435,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:30",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:30",2094443,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:25",868687,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:45:41",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:41:21",868696,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:26:29",2094449,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:41:15",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:53:37",868695,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
"2012-10-01","12:45:33",2094444,"2.15.1","x86_64","linux-gnu","mosaic","0.6-2","US",2
"2012-10-01","12:59:15",868701,"2.15.1","x86_64","linux-gnu","RCurl","1.95-0","US",2
